OrderID,CustomerID,StoreID,OrderDate,TotalAmount,OrderStatus,PaymentMethod
1,404,12,2026-03-01 16:55:54,494.92,Completed,Cash
2,153,20,2026-03-01 16:57:08,1557.0,Completed,Mobile Payment
3,608,11,2026-03-01 16:54:37,71.25,Completed,Cash
4,272,19,2026-03-01 16:57:21,1.0,Completed,Cash
5,152,8,2026-03-01 16:55:48,28.68,Completed,Cash
6,708,7,2026-03-01 16:56:19,734.88,Completed,Cash
7,322,6,2026-03-01 16:57:20,34.97,Processing,Mobile Payment
8,790,10,2026-03-01 16:54:35,66.07,Completed,Contactless Card
9,355,15,2026-03-01 16:55:58,664.91,Completed,Chip & PIN
10,249,2,2026-03-01 16:54:59,21.55,Completed,Contactless Card
11,988,18,2026-03-01 16:57:11,1936.0,Completed,Mobile Payment
12,329,10,2026-03-01 16:54:50,12.75,Processing,Contactless Card
13,936,6,2026-03-01 16:56:41,389.97,Processing,Mobile Payment
14,898,2,2026-03-01 16:56:29,34.8,Processing,Cash
15,280,7,2026-03-01 16:57:05,72.91,Completed,Cash
16,847,14,2026-03-01 16:57:01,74.97,Completed,Chip & PIN
17,489,11,2026-03-01 16:57:19,9.0,Completed,Mobile Payment
18,977,11,2026-03-01 16:55:23,459.91,Completed,Mobile Payment
19,707,4,2026-03-01 16:56:39,229.96,Completed,Mobile Payment
20,426,18,2026-03-01 16:55:37,40.17,Processing,Contactless Card
21,64,18,2026-03-01 16:55:38,12.75,Completed,Cash
22,94,17,2026-03-01 16:55:34,2.5,Completed,Cash
23,578,2,2026-03-01 16:54:38,63.79,Completed,Contactless Card
24,958,3,2026-03-01 16:55:46,6.98,Completed,Chip & PIN
25,785,14,2026-03-01 16:56:01,884.9,Completed,Mobile Payment
26,122,6,2026-03-01 16:56:37,924.87,Completed,Chip & PIN
27,254,15,2026-03-01 16:56:44,289.96,Completed,Cash
28,630,1,2026-03-01 16:55:20,19.4,Processing,Chip & PIN
29,759,2,2026-03-01 16:54:53,469.91,Completed,Mobile Payment
30,243,10,2026-03-01 16:54:46,2385.0,Completed,Chip & PIN
31,642,14,2026-03-01 16:55:46,3.6,Completed,Mobile Payment
32,714,14,2026-03-01 16:54:43,309.96,Completed,Chip & PIN
33,308,5,2026-03-01 16:55:45,3.5,Cancelled,Chip & PIN
34,398,8,2026-03-01 16:56:30,219.96,Completed,Chip & PIN
35,53,9,2026-03-01 16:54:40,509.92,Completed,Chip & PIN
36,986,4,2026-03-01 16:57:13,30.64,Completed,Mobile Payment
37,316,9,2026-03-01 16:57:26,794.92,Completed,Chip & PIN
38,760,5,2026-03-01 16:54:53,45.84,Completed,Mobile Payment
39,264,16,2026-03-01 16:55:06,73.92,Completed,Chip & PIN
40,70,5,2026-03-01 16:55:25,54.32,Completed,Contactless Card
41,7,18,2026-03-01 16:57:12,449.97,Completed,Mobile Payment
42,18,17,2026-03-01 16:55:49,474.96,Completed,Mobile Payment
43,835,12,2026-03-01 16:54:39,314.92,Completed,Contactless Card
44,670,2,2026-03-01 16:55:17,73.96,Processing,Contactless Card
45,236,7,2026-03-01 16:56:09,72.61,Completed,Chip & PIN
46,602,5,2026-03-01 16:56:44,39.99,Completed,Cash
47,694,18,2026-03-01 16:56:20,429.95,Completed,Mobile Payment
48,620,20,2026-03-01 16:54:56,439.95,Completed,Cash
49,443,6,2026-03-01 16:55:50,49.98,Completed,Contactless Card
50,85,9,2026-03-01 16:57:07,1486.0,Completed,Contactless Card
51,966,10,2026-03-01 16:56:07,77.61,Completed,Mobile Payment
52,568,3,2026-03-01 16:56:43,864.92,Completed,Chip & PIN
53,702,13,2026-03-01 16:57:01,658.0,Completed,Chip & PIN
54,65,6,2026-03-01 16:54:46,269.95,Processing,Cash
55,609,20,2026-03-01 16:54:36,50.65,Completed,Chip & PIN
56,491,11,2026-03-01 16:56:56,1486.0,Cancelled,Chip & PIN
57,334,13,2026-03-01 16:57:10,524.9,Completed,Contactless Card
58,976,15,2026-03-01 16:56:19,69.22,Completed,Contactless Card
59,460,20,2026-03-01 16:56:22,69.81,Completed,Cash
60,991,11,2026-03-01 16:57:05,149.99,Completed,Chip & PIN
61,457,12,2026-03-01 16:56:21,579.93,Processing,Contactless Card
62,119,5,2026-03-01 16:56:44,439.93,Completed,Cash
63,740,15,2026-03-01 16:54:40,29.99,Completed,Contactless Card
64,24,11,2026-03-01 16:55:03,38.95,Completed,Cash
65,238,13,2026-03-01 16:55:26,688.0,Completed,Chip & PIN
66,461,19,2026-03-01 16:57:10,664.92,Completed,Chip & PIN
67,375,11,2026-03-01 16:55:44,65.64,Completed,Mobile Payment
68,941,20,2026-03-01 16:57:07,14.48,Completed,Chip & PIN
69,524,13,2026-03-01 16:55:35,984.87,Completed,Cash
70,296,5,2026-03-01 16:55:58,1727.0,Cancelled,Cash
71,140,7,2026-03-01 16:56:16,544.91,Completed,Chip & PIN
72,300,2,2026-03-01 16:56:38,279.97,Completed,Cash
73,563,17,2026-03-01 16:55:41,24.98,Completed,Contactless Card
74,779,15,2026-03-01 16:55:34,19.5,Completed,Mobile Payment
75,882,20,2026-03-01 16:56:12,74.98,Completed,Mobile Payment
76,546,9,2026-03-01 16:56:28,1037.0,Completed,Contactless Card
77,139,14,2026-03-01 16:56:54,55.95,Completed,Chip & PIN
78,592,9,2026-03-01 16:55:42,799.9,Completed,Mobile Payment
79,466,16,2026-03-01 16:54:33,519.91,Completed,Cash
80,275,11,2026-03-01 16:55:26,559.93,Completed,Contactless Card
81,102,15,2026-03-01 16:56:15,4.9,Cancelled,Cash
82,208,5,2026-03-01 16:56:16,299.95,Completed,Mobile Payment
83,681,6,2026-03-01 16:55:43,42.06,Completed,Cash
84,10,1,2026-03-01 16:54:32,74.97,Completed,Contactless Card
85,235,13,2026-03-01 16:54:43,14.98,Completed,Chip & PIN
86,657,5,2026-03-01 16:56:17,3.0,Completed,Mobile Payment
87,740,7,2026-03-01 16:55:22,1936.0,Processing,Chip & PIN
